Cidades Brasileiras,,,,,,,,
Fonte: https://www.kaggle.com/crisparada/brazilian-cities/downloads/brazilian-cities.zip/6,,,,,,,,
,,,,,,,,
Município,Estado,IBGE_1-4,IDHM,IDHM_Renda,IDHM_Educacao,GDP_CAPITA,COMP_P,Valor Vazio
Governador Valadares,MG,13893,0.727,0.714,0.644,20207.31,228,0
Santa Bárbara D'Oeste,SP,8307,0.78,0.752,0.731,26590.27,147,0
São José,SC,9249,0.809,0.799,0.752,41960.75,220,0
Barra Mansa,RJ,8544,0.73,0.72,0.657,26346.46,139,0
Divinópolis,MG,8836,0.764,0.753,0.702,24191.34,222,0
Caruaru,PE,16867,0.677,0.681,0.569,17880.19,201,0
Cabo Frio,RJ,8842,0.735,0.743,0.64,33969.57,195,0
São João Da Boa Vista,SP,3449,0.797,0.776,0.749,30716.49,80,0
Catalão,GO,4385,0.77,0.769,0.715,58559.74,92,0
Cubatão,SP,3460,0.737,0.716,0.681,138153.22,78,0
Luís Eduardo Magalhães,BA,4282,0.716,0.754,0.59,48937.78,75,0
Assis,SP,4394,0.805,0.771,0.781,27921.64,96,0
Assis,SP,4394,0.805,0.771,0.781,27921.64,96,0
Sete Lagoas,MG,10492,0.76,0.742,0.705,31042.95,219,0
Bento Gonçalves,RS,4103,0.778,0.805,0.695,47657.58,183,0
Itatiba,SP,3757,0.778,0.788,0.708,44580.54,101,0
Orlândia,SP,1887,0.78,0.765,0.703,37186.74,54,0
Balneário Camboriú,SC,3692,0.845,0.854,0.789,37429.03,174,0
Itapira,SP,2613,0.762,0.75,0.692,46737.42,45,0
Jaboticabal,SP,3169,0.778,0.778,0.71,35019.92,52,0
Resende,RJ,6029,0.768,0.762,0.709,50234.49,136,0
Angra Dos Reis,RJ,8287,0.72,0.74,0.605,47636.4,104,0
Tupã,SP,2374,0.77,0.764,0.704,25424.12,58,0
Passos,MG,5060,0.76,0.741,0.658,20221.63,102,0
Serra,ES,23768,0.74,0.72,0.664,37088.81,365,0
Petrolina,PE,14866,0.7,0.695,0.611,17160.36,306,0
Birigui,SP,5094,0.78,0.743,0.734,27389.84,53,0
Toledo,PR,5096,0.768,0.755,0.702,40433.37,181,0
Paulínia,SP,4503,0.795,0.8,0.727,314637.69,118,0
Carapicuíba,SP,20476,0.75,0.721,0.693,13218.19,240,0
Lavras,MG,4101,0.782,0.757,0.719,22428.25,81,0
Salto,SP,5316,0.78,0.755,0.751,53864.05,93,0
Ribeirão Pires,SP,5224,0.784,0.749,0.76,24947.07,111,0
Conselheiro Lafaiete,MG,5499,0.76,0.736,0.697,15735.75,133,0
Itapetininga,SP,7326,0.763,0.728,0.705,29339.86,180,0
Santa Maria,RS,11387,0.784,0.795,0.715,24596.22,322,0
Gravataí,RS,11972,0.736,0.727,0.636,36629.74,199,0
Macapá,AP,23717,0.733,0.723,0.663,19935.32,364,0
Nova Lima,MG,3804,0.813,0.864,0.704,82145.16,139,0
Votuporanga,SP,3371,0.79,0.772,0.744,29120.96,87,0
Guaratinguetá,SP,5045,0.8,0.764,0.751,35347.7,125,0
Itajubá,MG,3918,0.787,0.767,0.718,27397.44,125,0
Pindamonhangaba,SP,7659,0.773,0.745,0.736,41328.58,174,0
Itaquaquecetuba,SP,20794,0.71,0.665,0.648,18240.37,158,0
Vitória Da Conquista,BA,16353,0.68,0.681,0.581,17991.07,376,0
Matão,SP,3489,0.773,0.766,0.713,45441.41,73,0
Hortolândia,SP,10742,0.76,0.716,0.703,52570.87,190,0
Uruguaiana,RS,7197,0.74,0.722,0.661,20522.98,80,0
Arapongas,PR,5023,0.748,0.751,0.669,34462.7,134,0
Barbacena,MG,5409,0.769,0.751,0.687,18885.44,95,0
Horizontina,RS,705,0.78,0.782,0.716,63063.89,30,0
Amparo,SP,2271,0.785,0.78,0.711,48680.71,57,0
Alfenas,MG,3482,0.76,0.737,0.712,28964.87,70,0
Valparaíso,SP,1129,0.725,0.719,0.643,45386.68,15,0
Batatais,SP,2169,0.76,0.766,0.685,27229.67,54,0
