Cidades Brasileiras,,,,,,,,
Fonte: https://www.kaggle.com/crisparada/brazilian-cities/downloads/brazilian-cities.zip/6,,,,,,,,
,,,,,,,,
Município,Estado,IBGE_1-4,IDHM,IDHM_Renda,IDHM_Educacao,GDP_CAPITA,COMP_P,Valor Vazio
Santa Luzia D'Oeste,RO,159,0.67,0.657,0.564,17842.99,1,0
São João Do Itaperiú,SC,75,0.738,0.714,0.645,40621.86,5,0
Mundo Novo,BA,880,0.59,0.606,0.429,5469.48,27,0
Nova Alvorada,RS,17,0.74,0.763,0.634,42936.12,2,0
Piquete,SP,657,0.757,0.711,0.74,10564.93,6,0
Aurora,SC,79,0.733,0.748,0.606,26025.33,14,0
Guarantã,SP,324,0.713,0.698,0.623,22115.08,4,0
Quevedos,RS,47,0.665,0.667,0.534,52136.19,2,0
General Câmara,RS,249,0.69,0.704,0.552,16955.88,10,0
Reriutaba,CE,603,0.601,0.56,0.509,7764.55,7,0
Santa Luzia Do Pará,PA,690,0.546,0.53,0.424,7574.75,1,0
Santa Bárbara Do Pará,PA,385,0.627,0.575,0.546,7291.75,18,0
Irapuã,SP,366,0.713,0.688,0.624,18630.64,5,0
Harmonia,RS,101,0.75,0.748,0.668,31454.63,15,0
Campina Das Missões,RS,94,0.738,0.698,0.677,24136.13,10,0
Mantenópolis,ES,438,0.657,0.636,0.551,9506.24,10,0
Flores,PE,592,0.556,0.544,0.423,6417.15,4,0
Juazeirinho,PB,725,0.57,0.557,0.435,8017.63,4,0
Piritiba,BA,959,0.578,0.566,0.449,5785.11,4,0
Água Doce Do Norte,ES,371,0.652,0.619,0.546,12081.44,7,0
Saldanha Marinho,RS,77,0.762,0.745,0.706,50359.87,4,0
Ernestina,RS,87,0.716,0.703,0.612,44745.53,2,0
Jardim Do Seridó,RN,401,0.66,0.647,0.584,11433.58,12,0
Amapá,AP,515,0.642,0.631,0.532,16519.72,13,0
Treze De Maio,SC,168,0.73,0.729,0.602,20151.13,7,0
Cambará Do Sul,RS,189,0.7,0.705,0.574,21321.52,6,0
Itapirapuã,GO,230,0.677,0.67,0.568,21765.1,2,0
Central,BA,602,0.596,0.54,0.538,7933.89,1,0
Coremas,PB,704,0.59,0.578,0.452,9227.46,7,0
Banabuiú,CE,614,0.606,0.54,0.53,7889.12,5,0
Araçagi,PB,424,0.55,0.54,0.412,8307.35,4,0
Carnaíba,PE,441,0.583,0.54,0.505,7277.43,5,0
Antônio Carlos,MG,351,0.68,0.65,0.584,12164.42,10,0
Jacutinga,RS,91,0.726,0.703,0.636,37839.36,4,0
Campestre Da Serra,RS,53,0.706,0.713,0.557,41237.08,3,0
Praia Grande,SC,239,0.718,0.692,0.636,19011.57,3,0
Altinho,PE,690,0.598,0.559,0.482,6110.14,26,0
Regeneração,PI,985,0.591,0.582,0.498,7897.35,22,0
Poção De Pedras,MA,541,0.58,0.543,0.481,8037.47,2,0
Anita Garibaldi,SC,245,0.688,0.667,0.592,18048.22,9,0
Timbiras,MA,1410,0.537,0.498,0.427,4848.73,2,0
Anchieta,SC,123,0.7,0.703,0.608,23428.62,16,0
Campos Novos Paulista,SP,208,0.706,0.67,0.638,28307.64,1,0
Baixa Grande,BA,623,0.585,0.549,0.471,6418,28,0
Virginópolis,MG,325,0.675,0.638,0.58,12643.03,8,0
Poté,MG,551,0.624,0.584,0.515,8212.58,12,0
Ipanguaçu,RN,375,0.603,0.568,0.518,8878.36,6,0
Humaitá,RS,128,0.738,0.732,0.657,27064.84,5,0
São Nicolau,RS,164,0.645,0.658,0.523,23697.74,0,0
Morrinhos,CE,709,0.588,0.524,0.511,6113.39,5,0
Iaras,SP,194,0.674,0.664,0.543,16389.78,3,0
Jerônimo Monteiro,ES,417,0.698,0.685,0.589,11263.91,5,0
Água Boa,MG,447,0.58,0.594,0.403,9243.16,9,0
Bom Jesus Do Norte,ES,434,0.73,0.689,0.673,13116.9,5,0
Cacaulândia,RO,144,0.65,0.664,0.506,20886.57,2,0
Laranja Da Terra,ES,138,0.66,0.633,0.55,11655.36,12,0
Nova Esperança Do Sul,RS,149,0.735,0.723,0.647,26218.03,4,0
Coronel João Sá,BA,490,0.535,0.545,0.392,7835.18,2,0
Ipaba,MG,960,0.665,0.63,0.562,7286.68,8,0
Miradouro,MG,284,0.66,0.645,0.546,12288.15,13,0
Miraguaí,RS,96,0.725,0.744,0.613,26637.08,11,0
Esperantinópolis,MA,763,0.586,0.561,0.503,7828.26,38,0
Santa Cruz Da Conceição,SP,113,0.79,0.83,0.679,30071.5,1,0
Ciríaco,RS,99,0.72,0.724,0.6,26216.48,7,0
Nossa Senhora Aparecida,SE,214,0.58,0.577,0.43,14789.79,5,0
Imbuia,SC,140,0.713,0.716,0.602,21494.9,3,0
Farias Brito,CE,496,0.633,0.541,0.605,6929.95,24,0
Areiópolis,SP,543,0.695,0.686,0.594,11717.73,3,0
Maribondo,AL,630,0.597,0.581,0.487,9550.07,5,0
Reginópolis,SP,203,0.728,0.715,0.66,14651.05,2,0
Pio Ix,PI,296,0.564,0.538,0.44,7154.53,0,0
São Luís Gonzaga Do Maranhão,MA,607,0.54,0.503,0.438,6996.99,1,0
Echaporã,SP,259,0.745,0.719,0.69,20518.61,1,0
São José Do Hortêncio,RS,129,0.71,0.717,0.597,28606.61,5,0
Simplício Mendes,PI,442,0.627,0.613,0.525,10327.06,14,0
Baianópolis,BA,274,0.589,0.543,0.492,8980.47,0,0
Teixeira,PB,695,0.605,0.566,0.527,8482.34,11,0
Dores Do Rio Preto,ES,193,0.654,0.635,0.542,18333.31,5,0
Novo Lino,AL,520,0.521,0.546,0.375,9936.86,1,0
Guarani,MG,319,0.677,0.685,0.533,13986.92,7,0
Água Branca,AL,361,0.55,0.527,0.432,6180.97,3,0
Malhador,SE,362,0.59,0.587,0.442,9950.11,15,0
Montalvânia,MG,655,0.613,0.586,0.492,8011.7,11,0
Malhada,BA,506,0.562,0.532,0.454,7160.75,1,0
Pacoti,CE,195,0.635,0.571,0.58,10481.85,4,0
David Canabarro,RS,84,0.762,0.74,0.688,25831.88,1,0
Natividade,TO,524,0.67,0.646,0.556,13423.04,2,0
Iracema,CE,586,0.652,0.597,0.632,8836.54,18,0
Triunfo,PE,431,0.67,0.624,0.591,8175.66,18,0
Pedro Osório,RS,315,0.68,0.683,0.551,15543.65,3,0
Porteiras,CE,419,0.622,0.531,0.592,8309.58,32,0
Teixeiras,MG,330,0.675,0.685,0.558,10524.72,14,0
Manoel Urbano,AC,504,0.551,0.586,0.373,14182.17,2,0
Bom Jesus Da Penha,MG,131,0.735,0.696,0.662,29691.89,3,0
Jaborá,SC,78,0.732,0.746,0.657,30951.39,2,0
Ribeiro Gonçalves,PI,349,0.601,0.568,0.485,17232.04,1,0
Dilermando De Aguiar,RS,71,0.648,0.681,0.463,39343.83,3,0
Passagem Franca,MA,816,0.532,0.525,0.401,6578.75,4,0
Cotiporã,RS,55,0.741,0.767,0.636,30623.82,3,0
Tiradentes Do Sul,RS,97,0.69,0.705,0.569,19318.23,9,0
Pindobaçu,BA,775,0.58,0.527,0.482,5770.02,4,0
Liberato Salzano,RS,52,0.685,0.68,0.583,21346.9,11,0
São João Da Urtiga,RS,91,0.69,0.702,0.575,25240.06,5,0
Poloni,SP,250,0.77,0.736,0.717,20742.68,3,0
Virgínia,MG,200,0.65,0.635,0.523,13679.81,6,0
São Caetano De Odivelas,PA,471,0.585,0.552,0.473,6925.69,12,0
América Dourada,BA,847,0.561,0.506,0.464,7196.18,19,0
Jaguaribara,CE,415,0.618,0.575,0.559,10773.36,1,0
Saloá,PE,556,0.56,0.559,0.421,7624.53,2,0
Primavera,PA,404,0.58,0.571,0.435,11429.2,9,0
Jardim De Piranhas,RN,602,0.603,0.59,0.469,8105.85,14,0
Cipó,BA,732,0.601,0.589,0.496,6757.53,23,0
Angicos,RN,564,0.624,0.606,0.53,10020.82,7,0
Maquiné,RS,87,0.682,0.695,0.519,16948.76,2,0
Senador José Porfírio,PA,655,0.514,0.533,0.338,10272.06,10,0
Alagoinha,PE,502,0.599,0.569,0.472,8244.12,2,0
Alexandria,RN,567,0.606,0.581,0.491,8581.87,8,0
Sabino,SP,224,0.728,0.708,0.671,21452.92,3,0
Grandes Rios,PR,155,0.66,0.649,0.55,18953.48,5,0
Belo Campo,BA,540,0.575,0.562,0.444,6466.01,3,0
Nova Canaã,BA,390,0.545,0.554,0.37,6894.88,3,0
Nova Aliança,SP,260,0.738,0.71,0.684,17755.46,5,0
Segredo,RS,77,0.659,0.673,0.525,15893,11,0
Jitaúna,BA,543,0.575,0.563,0.479,9050.26,5,0
São João Batista,MA,421,0.598,0.493,0.577,5782.96,1,0
Progresso,RS,67,0.68,0.705,0.525,18375.13,14,0
Ilópolis,RS,51,0.73,0.756,0.595,27850.19,4,0
Riozinho,RS,123,0.66,0.69,0.472,25480.83,7,0
Garruchos,RS,51,0.67,0.657,0.553,36529.52,5,0
Boa Vista Do Tupim,BA,462,0.551,0.514,0.447,5984.36,1,0
Herval,RS,256,0.687,0.73,0.527,16656.4,1,0
Vila Nova Do Sul,RS,105,0.662,0.645,0.544,26538.88,2,0
Nortelândia,MT,325,0.7,0.653,0.668,19405.78,4,0
Estrela Velha,RS,58,0.679,0.707,0.56,30931.57,3,0
Loreto,MA,445,0.58,0.516,0.495,9694.58,12,0
Silvanópolis,TO,303,0.675,0.638,0.592,21448.7,1,0
Acajutiba,BA,849,0.58,0.56,0.487,7305.15,3,0
Vargeão,SC,111,0.69,0.708,0.551,32044.89,1,0
Piquet Carneiro,CE,370,0.6,0.53,0.523,6925.59,7,0
Douradina,MS,184,0.7,0.706,0.597,19893.06,5,0
Boqueirão Do Leão,RS,71,0.7,0.725,0.562,14498.31,19,0
Umarizal,RN,464,0.618,0.59,0.506,10612.37,6,0
Barra Funda,RS,69,0.763,0.731,0.71,45693.02,4,0
Serra Branca,PB,533,0.628,0.598,0.537,8335.82,7,0
Gilbués,PI,460,0.55,0.574,0.38,10804.67,2,0
Mercês,MG,318,0.664,0.683,0.515,10463.61,4,0
Tunápolis,SC,53,0.752,0.728,0.704,24591.83,6,0
Jacuí,MG,225,0.67,0.682,0.54,14543.85,2,0
Mirangaba,BA,458,0.542,0.512,0.454,6094.36,0,0
Fazenda Vilanova,RS,139,0.698,0.726,0.557,27297.55,4,0
Barão Do Triunfo,RS,24,0.61,0.645,0.428,15212.71,0,0
Buenópolis,MG,415,0.669,0.65,0.579,10645.56,4,0
Modelo,SC,107,0.76,0.751,0.659,26893.16,8,0
Goiandira,GO,204,0.76,0.711,0.727,20122.06,4,0
Euclides Da Cunha Paulista,SP,374,0.7,0.663,0.655,11689.99,2,0
Arauá,SE,252,0.595,0.55,0.49,10645.71,19,0
Ibirapuitã,RS,121,0.638,0.678,0.463,26750.55,1,0
Itanhomi,MG,472,0.65,0.656,0.503,8970.22,2,0
Gonçalves Dias,MA,531,0.568,0.542,0.445,6299.75,12,0
Marcelino Ramos,RS,89,0.72,0.735,0.618,22170.12,2,0
Amaral Ferrador,RS,113,0.624,0.664,0.457,16172.45,3,0
Ladainha,MG,249,0.541,0.537,0.391,6086.96,4,0
Rio De Contas,BA,288,0.605,0.58,0.498,8079.28,1,0
Lajes,RN,471,0.624,0.578,0.557,9714.94,8,0
Ferros,MG,251,0.603,0.625,0.428,10367.77,6,0
Caxambu Do Sul,SC,36,0.691,0.725,0.523,27654.56,3,0
Witmarsum,SC,51,0.71,0.739,0.557,28098,5,0
Timbé Do Sul,SC,41,0.72,0.721,0.606,20238.34,2,0
Alto Paraguai,MT,437,0.638,0.612,0.541,10060.57,5,0
São José Dos Ausentes,RS,133,0.66,0.674,0.541,31209.98,3,0
Santo Amaro Das Brotas,SE,648,0.637,0.613,0.543,8992.64,0,0
Curuá,PA,586,0.578,0.501,0.495,7880.49,0,0
Tavares,PB,457,0.586,0.56,0.462,7419.91,12,0
Bonito,PA,344,0.546,0.531,0.398,6958.89,0,0
Mata,RS,102,0.66,0.66,0.529,20897.81,9,0
Rancho Queimado,SC,50,0.753,0.743,0.644,37456.18,4,0
Rio Novo,MG,334,0.71,0.671,0.631,11783.72,3,0
Alegria,RS,62,0.695,0.717,0.572,26144.19,1,0
Paulista,PB,319,0.59,0.587,0.461,8688.64,10,0
Paim Filho,RS,101,0.706,0.725,0.558,25386.01,1,0
Arapoema,TO,373,0.68,0.645,0.601,15700.19,1,0
Maximiliano De Almeida,RS,137,0.7,0.699,0.591,21810.68,0,0
Áurea,RS,63,0.71,0.715,0.588,28130.87,3,0
Catarina,CE,473,0.618,0.551,0.56,5139.89,16,0
Santo Antônio Do Planalto,RS,56,0.759,0.701,0.705,50487.58,4,0
Pirambu,SE,385,0.603,0.558,0.515,11239.2,2,0
Candiba,BA,434,0.591,0.578,0.481,6945.91,7,0
Alto Alegre,SP,142,0.7,0.683,0.616,24529.77,3,0
Itajá,GO,189,0.691,0.692,0.57,20693.37,1,0
Coimbra,MG,254,0.669,0.649,0.558,13529.3,2,0
Pedrinhas Paulista,SP,107,0.774,0.749,0.739,33024.83,1,0
Aiuaba,CE,243,0.569,0.518,0.474,5946.54,2,0
Jurema,PE,583,0.509,0.522,0.372,6657.51,21,0
Porto Lucena,RS,83,0.693,0.7,0.575,19229.26,18,0
Alecrim,RS,68,0.672,0.683,0.522,14880.75,9,0
Piracema,MG,107,0.65,0.646,0.515,15369.47,5,0
Águas De Chapecó,SC,164,0.713,0.712,0.629,15732.48,3,0
Fazenda Nova,GO,182,0.685,0.671,0.576,16436.75,4,0
Itabirinha,MG,497,0.653,0.625,0.531,8790.65,3,0
Gararu,SE,245,0.564,0.544,0.422,8566.98,4,0
Jacinto,MG,579,0.62,0.595,0.496,7996.11,12,0
Riachinho,MG,265,0.632,0.577,0.551,12080.44,4,0
Torixoréu,MT,118,0.716,0.684,0.666,27453.58,4,0
Iapu,MG,397,0.654,0.639,0.535,9146.92,5,0
Cumaru,PE,264,0.57,0.553,0.47,8051.62,0,0
Vicente Dutra,RS,134,0.638,0.656,0.489,19030.9,3,0
Severiano De Almeida,RS,54,0.752,0.738,0.67,25436.95,5,0
Presidente Dutra,BA,583,0.614,0.572,0.553,6278.02,18,0
Filadélfia,TO,440,0.621,0.578,0.522,11038.93,3,0
Caiçara,RS,55,0.7,0.721,0.58,19264.28,7,0
Matrinchã,GO,147,0.679,0.651,0.572,21738,1,0
Rio Do Antônio,BA,301,0.58,0.555,0.465,6215.17,10,0
Atalanta,SC,67,0.733,0.736,0.668,29655.99,1,0
Maratá,RS,21,0.7,0.729,0.54,36295.22,8,0
Ocauçu,SP,189,0.72,0.679,0.653,22459.31,3,0
Sapucaia,PA,244,0.59,0.639,0.405,17021.81,0,0
Caraá,RS,54,0.652,0.661,0.505,12158.07,1,0
Bacuri,MA,627,0.578,0.54,0.484,5489.47,4,0
Álvares Florence,SP,107,0.728,0.701,0.683,24830.77,1,0
Nova Bréscia,RS,48,0.778,0.836,0.666,28450.19,3,0
Jacaraci,BA,281,0.593,0.573,0.49,6138.91,11,0
Itapé,BA,449,0.599,0.574,0.491,9446.57,10,0
Itacurubi,RS,55,0.657,0.692,0.509,26648.59,5,0
Ibicaré,SC,72,0.708,0.734,0.586,28680.75,1,0
Aliança Do Tocantins,TO,288,0.66,0.61,0.596,16945.25,2,0
São Valentim,RS,43,0.72,0.745,0.612,26185.65,6,0
Boa Nova,BA,316,0.57,0.535,0.453,6580.5,2,0
Itapetim,PE,455,0.59,0.598,0.494,6871.23,2,0
Jussara,BA,725,0.57,0.544,0.476,5875.61,24,0
Lagoão,RS,81,0.643,0.641,0.505,14456.65,2,0
Itaju,SP,120,0.705,0.696,0.613,25664.53,2,0
Governador Eugênio Barros,MA,377,0.57,0.55,0.462,5670.63,4,0
Três Fronteiras,SP,200,0.753,0.71,0.726,16299.91,7,0
Apiacá,ES,251,0.67,0.659,0.549,11766.2,5,0
Ametista Do Sul,RS,207,0.682,0.697,0.562,12203.19,2,0
Paraíso,SC,55,0.7,0.728,0.565,24914.91,1,0
Ubirajara,SP,180,0.727,0.689,0.674,19503.65,0,0
Salto Da Divisa,MG,417,0.608,0.586,0.453,12835.35,4,0
Ipiranga Do Sul,RS,24,0.79,0.818,0.698,46011.74,4,0
Erval Grande,RS,100,0.68,0.713,0.501,17494.58,6,0
Barra Do Mendes,BA,387,0.63,0.578,0.553,6228.75,14,0
Sentinela Do Sul,RS,50,0.67,0.671,0.545,16401.23,2,0
Arroio Trinta,SC,85,0.764,0.781,0.653,25248.49,4,0
Santa Ernestina,SP,290,0.738,0.716,0.699,15710.17,5,0
Cerrito,RS,162,0.649,0.657,0.504,13605.5,7,0
Berilo,MG,241,0.628,0.58,0.524,7035.99,11,0
Ubaí,MG,376,0.609,0.552,0.519,6898.92,7,0
Botuporã,BA,239,0.575,0.543,0.464,7822.93,1,0
Alto Rio Novo,ES,249,0.664,0.634,0.567,10709.54,3,0
Tavares,RS,152,0.66,0.692,0.492,14992.68,5,0
Santo Antônio Do Jacinto,MG,429,0.574,0.575,0.427,6930.04,2,0
Mariana Pimentel,RS,25,0.701,0.701,0.568,21054.07,5,0
São Jorge,RS,66,0.732,0.75,0.617,28773.45,0,0
Novo Cabrais,RS,26,0.688,0.697,0.548,19885.33,6,0
Rubim,MG,411,0.609,0.589,0.469,7885.98,0,0
Ibiassucê,BA,268,0.611,0.608,0.476,7837.39,4,0
Brochier,RS,93,0.7,0.723,0.554,16199.19,8,0
Vale Verde,RS,49,0.65,0.666,0.497,23293.65,1,0
Romelândia,SC,102,0.69,0.738,0.561,15682.31,2,0
Abel Figueiredo,PA,471,0.622,0.625,0.481,11095.92,6,0
Rio Branco,MT,220,0.71,0.701,0.617,15825.35,3,0
Dom Silvério,MG,167,0.71,0.661,0.636,14855.69,2,0
Poção,PE,495,0.528,0.542,0.402,7005.05,1,0
São João Do Oriente,MG,346,0.648,0.631,0.536,9960.52,4,0
Derrubadas,RS,49,0.71,0.664,0.628,24810.53,5,0
Augusto Severo,RN,288,0.621,0.624,0.495,7936.82,3,0
Leoberto Leal,SC,41,0.69,0.74,0.533,24247.23,1,0
São Martinho,SC,58,0.742,0.754,0.654,23791.75,3,0
Pongaí,SP,105,0.755,0.727,0.701,21493.65,3,0
Gramado Xavier,RS,23,0.634,0.681,0.473,17727.49,11,0
Alfredo Marcondes,SP,105,0.741,0.682,0.71,18074.69,0,0
São João Do Polêsine,RS,48,0.748,0.748,0.661,27736.22,7,0
Centenário,RS,38,0.701,0.707,0.569,24113.98,3,0
Galiléia,MG,297,0.654,0.645,0.546,10219.86,4,0
Governador Archer,MA,495,0.565,0.545,0.481,6720.65,15,0
Salmourão,SP,235,0.72,0.678,0.649,13440.12,1,0
Nova Pádua,RS,36,0.76,0.762,0.678,26630.39,0,0
Itaguaru,GO,175,0.718,0.689,0.648,12432.75,4,0
Cerro Branco,RS,45,0.66,0.671,0.527,14506.57,9,0
Abdon Batista,SC,32,0.69,0.66,0.625,24739.02,1,0
São Vendelino,RS,52,0.754,0.743,0.677,30133.44,0,0
Combinado,TO,297,0.7,0.649,0.639,12704.58,1,0
Porto Rico,PR,84,0.735,0.691,0.68,23586.69,1,0
São Domingos Do Sul,RS,71,0.763,0.78,0.68,19556.84,1,0
Monteiro Lobato,SP,77,0.71,0.692,0.627,12828.99,3,0
União Do Oeste,SC,60,0.705,0.703,0.606,21532.97,3,0
Piquerobi,SP,127,0.711,0.669,0.644,15107.21,1,0
Moeda,MG,78,0.638,0.657,0.494,11261.84,2,0
Vanini,RS,32,0.757,0.736,0.704,26558.02,0,0
São Bonifácio,SC,29,0.731,0.729,0.622,18976.25,5,0
Faro,PA,577,0.563,0.501,0.47,7564.23,8,0
Redenção Da Serra,SP,58,0.657,0.633,0.56,13717.38,1,0
Lupércio,SP,211,0.72,0.679,0.674,11416.47,1,0
Itabi,SE,121,0.602,0.569,0.512,10276.19,2,0
Silveira Martins,RS,47,0.742,0.744,0.644,20686.17,1,0
Júlio Mesquita,SP,192,0.716,0.659,0.686,10823.59,2,0
Ivorá,RS,30,0.72,0.712,0.602,23469.7,3,0
Alvinlândia,SP,153,0.722,0.721,0.659,14823.57,2,0
Canhoba,SE,88,0.569,0.553,0.462,10962.52,0,0
Presidente Kennedy,ES,183,0.657,0.636,0.553,169012.45,10,0
São Gonçalo Do Rio Abaixo,MG,234,0.667,0.658,0.569,179339.36,5,0
Alhandra,PB,827,0.58,0.544,0.465,44508.6,3,0
Tapurah,MT,429,0.71,0.738,0.594,62136.02,9,0
Piratuba,SC,123,0.758,0.736,0.714,180824.63,3,0
Itatiaiuçu,MG,348,0.677,0.661,0.563,66981,11,0
Giruá,RS,542,0.721,0.707,0.629,42423.42,21,0
Aripuanã,MT,847,0.675,0.682,0.553,32753.74,16,0
Nova Hartz,RS,1048,0.69,0.694,0.563,33832.41,19,0
Espumoso,RS,490,0.765,0.747,0.677,42421.91,19,0
Cerro Largo,RS,514,0.764,0.752,0.698,45330.48,27,0
Sonora,MS,947,0.68,0.706,0.557,34566.46,5,0
Óbidos,PA,2074,0.594,0.556,0.499,12100.42,53,0
Pedro Afonso,TO,684,0.732,0.699,0.664,46723.7,6,0
Antônio Carlos,SC,101,0.75,0.768,0.615,72874.82,8,0
Encruzilhada Do Sul,RS,910,0.657,0.677,0.478,21889.73,28,0
Touros,RN,764,0.57,0.562,0.466,16075.71,11,0
Luiz Alves,SC,143,0.737,0.766,0.6,44253.38,13,0
Poxoréu,MT,677,0.68,0.653,0.573,32843.98,8,0
Bom Princípio,RS,434,0.746,0.751,0.661,40058.32,26,0
Miranda Do Norte,MA,1405,0.61,0.55,0.55,16763.56,0,0
São João Do Triunfo,PR,292,0.629,0.655,0.475,30780.46,15,0
Alpestre,RS,93,0.67,0.7,0.543,59940.16,6,0
Mimoso Do Sul,ES,805,0.67,0.672,0.541,16475.97,9,0
Imbé,RS,858,0.764,0.825,0.638,21342.58,6,0
Alto Do Rodrigues,RN,558,0.672,0.647,0.585,30135.98,7,0
Quaraí,RS,1158,0.7,0.673,0.609,17819.01,16,0
Pinheiros,ES,1168,0.67,0.668,0.558,15474.98,16,0
Laguna Carapã,MS,141,0.672,0.676,0.545,57689.46,2,0
Rio Bananal,ES,338,0.68,0.68,0.579,21030.04,15,0
Jóia,RS,94,0.69,0.671,0.572,46616.31,17,0
Restinga Sêca,RS,376,0.68,0.709,0.542,24672.07,12,0
Maragogipe,BA,1445,0.621,0.582,0.518,8727.02,6,0
Matipó,MG,939,0.631,0.63,0.511,21346.34,8,0
Dionísio Cerqueira,SC,448,0.706,0.703,0.61,26012.7,8,0
Santo Inácio,PR,197,0.74,0.746,0.641,68161.59,3,0
Feliz Natal,MT,652,0.69,0.737,0.548,28302.55,9,0
Barra Dos Coqueiros,SE,1369,0.649,0.647,0.545,12571.31,9,0
Nonoai,RS,444,0.7,0.703,0.591,29239.75,8,0
Campo Magro,PR,1218,0.701,0.685,0.607,12781.85,4,0
Porto Dos Gaúchos,MT,119,0.685,0.703,0.561,66527.17,6,0
Estrela Do Sul,MG,324,0.696,0.694,0.579,43501.52,4,0
Entre-Ijuís,RS,268,0.68,0.692,0.548,38038.62,6,0
Condor,RS,211,0.747,0.735,0.666,50069.74,5,0
São Pedro Do Sul,RS,522,0.71,0.698,0.619,20113.24,17,0
Indiara,GO,705,0.701,0.694,0.593,21966.96,13,0
Irineópolis,SC,221,0.7,0.72,0.567,29399.46,2,0
Caracaraí,RR,874,0.624,0.601,0.518,15720.08,1,0
Aliança,PE,1388,0.604,0.565,0.488,8367.2,5,0
Seberi,RS,298,0.723,0.706,0.62,28600.34,10,0
Pindaré-Mirim,MA,1766,0.633,0.568,0.592,9764.54,2,0
Floresta Do Araguaia,PA,728,0.583,0.573,0.437,16151.54,21,0
Umbaúba,SE,1016,0.579,0.567,0.476,12389.41,18,0
Muniz Freire,ES,450,0.645,0.637,0.512,16311.14,3,0
Rosário Oeste,MT,476,0.65,0.653,0.52,17994.16,8,0
Carapebus,RJ,596,0.713,0.699,0.644,19832.89,3,0
Raul Soares,MG,723,0.655,0.658,0.52,12128.59,28,0
Epitaciolândia,AC,816,0.653,0.654,0.553,16382.28,12,0
Planalto,SP,227,0.72,0.683,0.639,54427.24,0,0
Mucajaí,RR,690,0.665,0.661,0.547,16304.33,2,0
Santa Maria Do Pará,PA,871,0.598,0.595,0.471,11139.12,1,0
Jauru,MT,460,0.67,0.668,0.563,29144.31,2,0
Japaratuba,SE,474,0.621,0.581,0.544,14095.33,4,0
São Domingos Do Maranhão,MA,1259,0.58,0.549,0.504,7698.45,2,0
Laurentino,SC,211,0.75,0.742,0.662,37552.83,2,0
Neópolis,SE,637,0.589,0.575,0.505,12613.48,16,0
Irupi,ES,395,0.637,0.658,0.493,17627.35,13,0
Colônia Leopoldina,AL,1166,0.517,0.548,0.363,10469.82,13,0
Porto De Moz,PA,1526,0.503,0.512,0.322,5799.6,2,0
Estação,RS,212,0.753,0.752,0.674,36690.69,8,0
Pedra,PE,844,0.57,0.55,0.445,10044.26,1,0
Porto Acre,AC,152,0.58,0.593,0.418,13045.53,15,0
Cristinápolis,SE,610,0.55,0.54,0.414,11855.57,4,0
Ibirapitanga,BA,462,0.56,0.561,0.415,8829.36,19,0
Bonfinópolis De Minas,MG,257,0.68,0.655,0.598,36026.02,5,0
João Lisboa,MA,1060,0.64,0.585,0.573,8692.24,4,0
Conceição Da Aparecida,MG,288,0.691,0.688,0.566,18831.41,2,0
Itaíba,PE,708,0.51,0.531,0.364,7310.35,2,0
Quipapá,PE,780,0.552,0.53,0.427,7502.09,3,0
Tacuru,MS,233,0.593,0.615,0.434,17173.72,1,0
Potim,SP,1121,0.7,0.651,0.646,8200.44,3,0
Boa Vista Do Buricá,RS,160,0.762,0.761,0.697,27375.95,1,0
Planalto,RS,221,0.687,0.674,0.597,17189.3,5,0
Areia Branca,SE,548,0.579,0.579,0.434,9784.32,1,0
Sanharó,PE,820,0.603,0.564,0.514,6978.9,13,0
Miraí,MG,569,0.68,0.663,0.567,11752.52,9,0
São Martinho Da Serra,RS,48,0.652,0.659,0.496,52535.08,0,0
Nova Monte Verde,MT,257,0.691,0.69,0.582,19561.72,6,0
Arealva,SP,274,0.74,0.718,0.683,20317.67,3,0
Mata Grande,AL,463,0.504,0.506,0.369,6599.27,28,0
Formigueiro,RS,99,0.682,0.69,0.549,23523.94,11,0
Cristina,MG,290,0.67,0.645,0.55,15735.92,9,0
Major Isidoro,AL,664,0.57,0.566,0.424,8147.72,29,0
Buriti,MA,774,0.55,0.479,0.48,5812.29,30,0
Capoeiras,PE,358,0.55,0.529,0.419,8019.46,2,0
João Ramalho,SP,208,0.741,0.701,0.71,35767.38,1,0
Bujari,AC,289,0.589,0.603,0.439,16704.34,13,0
Ascurra,SC,340,0.742,0.739,0.636,20143.89,9,0
São João De Pirabas,PA,918,0.539,0.529,0.393,6736.9,0,0
Mirador,MA,607,0.545,0.485,0.451,7246.48,2,0
Nova Roma Do Sul,RS,72,0.741,0.794,0.602,41033.47,1,0
Marabá Paulista,SP,109,0.677,0.65,0.591,26501.1,1,0
Rio Do Campo,SC,154,0.73,0.741,0.65,23976.02,3,0
São Paulo Das Missões,RS,85,0.69,0.688,0.584,22963.13,5,0
Arraias,TO,493,0.65,0.636,0.523,13306.15,9,0
Braço Do Trombudo,SC,127,0.78,0.766,0.702,38112.97,1,0
São João Da Baliza,RR,410,0.655,0.614,0.587,18387.38,0,0
Tarumirim,MG,450,0.633,0.614,0.499,9436.77,14,0
Três Palmeiras,RS,96,0.703,0.747,0.56,30115.98,7,0
Coroados,SP,231,0.72,0.704,0.648,22589.03,2,0
Vale Real,RS,185,0.737,0.739,0.636,23202.35,7,0
Itapiúna,CE,543,0.604,0.525,0.542,6187.36,16,0
